,Name,LineA,LineB,LineC,Concatenated
1179,Claire , Do you have any idea what a bad liar you are?,,,
1180,Alex , I'd be more worried that she couldn't come up with a single book title.,,,
1181,Phil ," Luke, come on, we're late! ",,,
1182,Claire , There's a first... Inside out and backwards. At least it isn't zipped into his... There it is.,,,
1183,Phil ," Well... there's book smart, and then there's street smart.",,,
1184,Claire ," Yeah, and then there's Luke.",,,
1185,Phil ," He's just curious, that's all. He's got this almost scientific mind with a thirst for knowledge. He's like this little Einstein. Some people ask ""why?"" Luke asks, ""why not?""",,,
1186,Claire ," I ask ""why"" a lot.",,,
1187,Cameron ," We're at the 10... We're at the 5... We're at the 1... Daddy, we're scoring a touchdown!",,,
1188,Mitchell , Please don't spike our baby. Why does she look like the Hamburger?,,,
1189,Cameron , She's a referee.,,,
1190,Mitchell , Do we even have to go to my dad's tonight?,,,
1191,Cameron , Are you kidding me? We're playing Ohio State.,,,
1192,Cameron ," I collect antique fountain pens, I'm adept at Japanese flower arrangement... Ikebana. And I was a starting offensive lineman at the University of Illinois. Surprise!",,,
1193,Mitchell , I don't like football.,,,
1194,Cameron , Being in a relationship is pretending to enjoy your partner's interests. Do you think I really loved home pickle making?,,,
1195,Mitchell ," Yeah, 'cause you did.",,,
1196,Cameron ," For a week, until we became the weird guys who gave everybody pickles. ""Oh, thank you, Marvin, for inviting us into your lovely home. Care for a sack of pickles?""",,,
1197,Mitchell , It was charming.,,,
1198,Cameron ," We were picklers. You know what? Fine. Stay home with your little jagged scissors, maybe catch up on your scrapbooking.",,,
1199,Mitchell , You loved scrapbooking!,,,
1200,Cameron ," Did I, Mitchell? Did I? ",,,
1201,Mitchell ," Don't do the ""double question to prove a point"" thing. I hate it.",,,
1202,Cameron ," Do you, Mitchell? Do you? [OPENING CREDITS]",,,
1203,Claire , No problem. We'll be right down. Thanks.,,,
1204,Phil ," Hey, honey. What's up?",,,
1205,Claire , The school just called. Luke got in a fight.,,,
1206,Phil ," Oh, geez. Is he okay?",,,
1207,Claire ," Yeah, he's fine, but they want us to come down there. Where are you?",,,
1208,Phil , I'm showing a house.,,,
1209,Claire , What house?,,,
1210,Phil , I'm golfing.,,,
1211,Claire , I bet it was that Durkas kid.,,,
1212,Phil , I hate that kid.,,,
1213,Claire ," He probably jumped on Luke, and Luke just fought back. Kid's a menace.",,,
1214,Phil , He made fun of my hair once.,,,
1215,Claire ," Shh, the parents are probably in there.",,,
1216,Phil , I slept on it funny... Like that never happened to him.,,,
1217,Claire , Come on. What are you doing here?,,,
1218,Jay , These two knuckleheads were fighting.,,,
1219,Claire , What?!,,,
1220,Jay , Could have been worse.,,,
1221,Phil , I was not ready to face Durkas today.,,,
1222,Claire ," So, what happened?",,,
1223,School director ," Apparently, there was some name-calling and shoving on the playground. By the time a teacher separated them, Luke was sitting on Manny's chest.",,,
1224,Jay ," Luke, that's not like you.",,,
1225,School director , Wait a minute. You're Luke's father?,,,
1226,Jay , Grandfather.,,,
1227,School director , So Manny's father is... ,,,
1228,Gloria , Javier. Crazy guy. That's where he gets his fire.,,,
1229,School director ," Okay, you're...",,,
1230,Claire , He's our son.,,,
1231,Jay , And my grandson.,,,
1232,Claire , I'm his daughter.,,,
1233,School director ," So, you're...",,,
1234,Manny , His uncle.,,,
1235,Luke ," Stop saying that, or I'll sit on your chest again!",,,
1236,Claire , Oh! Wait a second. is that what this was all about?,,,
1237,Luke , He keeps calling me his nephew.,,,
1238,Manny , You are!,,,
1239,Luke , Shut up!,,,
1240,School director ," Okay! Okay! I'm getting the sense that you're all related... somehow. It's best if you work this out at home so the boys can go back to class, okay? But we're not happy about this, boys. This is not how mature young men behave. Here's your note for Miss Passwater. I wouldn't worry. They're good kids. It's just tough when one kid's a little different.",,,
1241,Claire ," You heard how she said that, right? She thought Luke was the weird one, Luke!",,,
1242,Gloria ," Her kid gets his head stuck in the furniture, and Manny is the different one.",,,
1243,Claire , I will tell you what's weird. Our son is not weird. What's weird is that her kid wears aftershave and dresses like a count.,,,
1244,Gloria , think We should cancel with them for the barbecue.,,,
1245,Phil ," If we cancel, it'll just make this a bigger deal than it is. It'll be good for Luke and Manny to spend some time. Might be good for you and Gloria, too.",,,
1246,Claire , Why?,,,
1247,Gloria , She's always had a problem with me. I think I'm gonna find out what it is. ,,,
1248,Jay , That's the worst thing you could do. Just sweep it under the rug.,,,
1249,Gloria , I'm not a sweeper.,,,
1250,Jay , Trust me on this.,,,
1251,Phil , I think you two need to talk it out.,,,
1252,Claire ," I don't have anything to say to her. She's the one with the problem, not me.",,,
1253,Gloria , Whose side are you on?,,,
1254,Jay , She's my daughter. You're my wife. Let's remember what's important here... There's a football game on.,,,
1255,Phil , I just hate it when my two girls aren't getting along.,,,
1256,Claire , How exactly is she your girl?,,,
1257,Cameron , I got a few things for the party. Is Lily ready to go?,,,
1258,Mitchell ," Yeah, she's ready.",,,
1259,Cameron , What's wrong?,,,
1260,Mitchell ," I'm just really worried about CJ Hightower, with the bad ankle. I don't know how he's gonna run his corner routes.",,,
1261,Cameron , What did my boyfriend just say?,,,
1262,Jay ," Listen, I heard what you said, and I thought, yes, I should try to learn more about football.",,,
1263,Cameron , That is very mature of you.,,,
1264,Mitchell ," I figure if football fans can learn it, how hard can it be?",,,
1265,Cameron , That's very elitist of you.,,,
1266,Mitchell ," I'm taking baby steps here, all right? I'm actually looking forward to it. 'Cause it's not just the game. It's the bands and the drama and the... the pageantry...",,,
1267,Cameron , Don't forget about the team mascots.,,,
1268,Mitchell , They wear ascots?,,,
1269,Cameron ," No, ""mascots,"" with an ""m."" That could have been very embarrassing. Okay, am I straight?",,,
1270,Mitchell , I am not sure what you are right now. ,,,
1271,Jay ," Hi! Hi! Hi! How you doing? Hi, beautiful.",,,
1272,Phil , Good to see you.,,,
1273,Claire , Let me guess. Game's on?,,,
1274,Jay , Just started.,,,
1275,Phil ," For you. It's nice to see you, Gloria.",,,
1276,Gloria , Two times today.,,,
1277,Claire ,Phil ! She means we've seen them two times today.,,,
1278,Jay ," Everybody, the food's in there, the drinks are in there, I'll be in here.",,,
1279,Phil ," Hold on, Jay. I think we should address the elephant in the room. Luke, Manny. Bring it in. Come on. Huddle up. Football. Now, in light of what happened at school today, if you have any feelings you'd like to express, this is the proper forum.",,,
1280,Jay ," For God's sake. All right, both of you. Now, in this family, do we kick and punch each other, or do we love each other?",,,
1281,Manny & Luke , Love each other.,,,
1282,Jay , That's right. I'll be in the den.,,,
1283,Claire ," So, I brought dessert.",,,
1284,Gloria ," Okay, thank you. I make pie, too.",,,
1285,Claire ," You can never have too many pies, right?",,,
1286,Phil ," Okay, wow! Everybody, take a deep breath. Let's think about getting real.",,,
1287,Claire ," Phil, no.",,,
1288,Gloria ," Why ""Phil, no""? What is Phil doing?",,,
1289,Phil , I'm just gonna say it... There's tension between you two. Bam! It's out there.,,,
1290,Claire , I'm gonna kill you.,,,
1291,Gloria , I think he's right. And I think we should talk about it.,,,
1292,Phil , That's what I'm talkin' 'bout... You two talking... 'bout it.,,,
1293,Alex ," I like football. Haley hates it. Which is weird because it's all boys, and there's no reading required. Do you know that she spends at least 45 minutes every morning doing her hair? And then, sometimes, she...",,,
1294,Cameron ," Let's go, Illini!",,,
1295,Mitchell ," Let's go, right now! ",,,
1296,Jay ," Oh, looks like I got to watch the game with Dick Butkiss.",,,
1297,Mitchell ," Dad! Come on, that's offensive.",,,
1298,Cameron ," He's one of the greatest linebackers to ever play at Illinois, and one of my personal heroes.",,,
1299,Mitchell ," And his name is ""Butkiss""? Really, and we're just choosing to... Okay. All right. I thought you were being homophobic. Sorry.",,,
1300,Jay , We got all night.,,,
1301,Mitchell ," Yes, we do.",,,
1302,Jay , Are you joining us here?,,,
1303,Cameron ," Jay, you know what? He's been studying up.",,,
1304,Mitchell ," I got to tell you, I am a little worried about CJ Hightower, with the bad ankle. I'm wondering how he's gonna run his corner routes.",,,
1305,Jay , Hightower's out.,,,
1306,Mitchell , What? Oh... then who is gonna run the corner routes?,,,
1307,Jay , I'll tell you who won't be. Billings.,,,
1308,Cameron , That's low. He's in jail.,,,
1309,Mitchell ," Oh... wow, yeah, I didn't know.",,,
1310,Cameron , Oh! Double tight end. It's gonna be a quarterback rollout...,,,
1311,Jay , They're gonna run it.,,,
1312,Cameron ," No trust me, he's got the slot, and the end zone! Touchdown!",,,
1313,Jay , Lucky call!,,,
1314,Mitchell , They should have considered blitzing.,,,
1315,Jay , Blitzing wouldn't have helped them. Get out of here.,,,
1316,Cameron ," Oh, gosh. Blitzing.",,,
1317,Mitchell ," So, my interest in football ended as suddenly and dramatically as the climax of ""West Side Story."" I'm a musicaltheater fan.",,,
1318,Cameron , Surprise!,,,
1319,Gloria ," Okay, the truth? I sometimes feel like you don't like me. ",,,
1320,Phil ," Powerful, powerful stuff. Claire, tell us how it makes you feel.",,,
1321,Claire ," Right now, I'm feeling a lot of anger.",,,
1322,Phil ," Don't tell me, tell her.",,,
1323,Claire ," Gloria, I'm really angry at Phil.",,,
1324,Phil , Let's respect the process.,,,
1325,Claire ," Gloria, I don't know why you think I don't like you.",,,
1326,Gloria ," Well, sometimes when you see me, you make that face...",,,
1327,Claire , What face?,,,
1328,Gloria , Like this.,,,
1329,Claire , I do not make a face like that.,,,
1330,Mitchell ," Oh my God, that is so Claire.",,,
1331,Phil , See? She does that with everyone. It's just her face.,,,
1332,Gloria ," No, it's not just the face. From the beginning, I feel like Manny and I are not welcome in this family.",,,
1333,Claire , That is so crazy!,,,
1334,Gloria ," No, it's not so crazy. It's how I feel.",,,
1335,Claire ," I am sorry if you feel that way. I really am. Because from the moment I met you, I have tried to make you feel comfortable with us.",,,
1336,Gloria , You think it's all in my head?,,,
1337,Claire , Kind... I don't know. I mean... We really love having you and Manny in our family.,,,
1338,Gloria , Really?,,,
1339,Claire , Really. So... you don't have to be so defensive.,,,
1340,Gloria ," I do that, don't I?",,,
1341,Claire , A little. A little bit.,,,
1342,Phil ," I'm feeling a hug. I was thinking group hug, but this is nice.",,,
1343,Haley ," I'd be there if I could... Oh, my God, there's hugging.",,,
1344,Claire ," Haley, get off the phone already.",,,
1345,Cameron , Where did you go?,,,
1346,Mitchell ," You heard him. He said, ""get out of here.""",,,
1347,Jay ," Oh my god, you're such a girl!",,,
1348,Mitchell ," Dad, loo... I was coming to get a beer, anyways. Nice apology.",,,
1349,Jay , Nice beer. ,,,
1350,Phil ," There's our little roustabouts! You look like you patched things up pretty good, huh? We can learn so much from the children. I bet it seems kind of silly now what you were fighting about.",,,
1351,Luke , I made fun of his accent.,,,
1352,Gloria , What accent?,,,
1353,Manny , I made fun of him for having the same thing for lunch every day.,,,
1354,Luke , I made fun of him because his mom used to dig coal.,,,
1355,Gloria , What?,,,
1356,Manny , He said you were a coal digger.,,,
1357,Phil ," Okay, I think we can move on!",,,
1358,Gloria , Who said I was a coal digger?,,,
1359,Luke , That's what my mom told me.,,,
1360,Alex , What's a coal digger?,,,
1361,Phil ," Sweaty, He heard it wrong. It's ""gold digger.""",,,
1362,Haley , I'm gonna have to call you back.,,,
1363,Claire , I really do not think that I remember ever saying that.,,,
1364,Luke ," Well, you said it in the car, you said it at Christmas, you said it in the Mexican restaurant...",,,
1365,Claire ," Okay, Mr. ""Leaves his sweatshirts at school every day"" suddenly remembers everything. Thank you.",,,
1366,Gloria ," And it was all in my head, huh?",,,
1367,Claire ," Listen, Gloria, it was like a year ago before... I knew you...",,,
1368,Manny , Nice going. Now my mom and my sister are fighting.,,,
1369,Claire ," If I say something everybody's thinking, does that make me a mean person? Or... does it make me a brave person? One who is courageous enough to stand up and say something... Behind someone's back to... a 10-year old?",,,
1370,Jay ," Well, she's pissed.",,,
1371,Claire ," Yeah, she wouldn't even come out of her room.",,,
1372,Jay , Did you really have to call her that? A gold digger. ,,,
1373,Claire ," You know what, dad? It was a year ago. And it was a natural question to ask. She's a beautiful, hot woman, and you're not exactly... You know.",,,
1374,Jay , Not exactly what?,,,
1375,Claire ," Mitchell, a little help?",,,
1376,Mitchell ," No, you are doing great.",,,
1377,Jay ," See, this is exactly why we sweep things under the rug. So people don't get hurt.",,,
1378,Phil ," Well, yeah... until you sweep too much under the rug. Then you got a lumpy rug. It creates a tripping hazard. You open yourself up to lawsuit. Boy, you can go a really long time without blinking.",,,
1379,Phil ," Gloria, It's Phil. Can I talk to you for a second?",,,
1380,Phil ," Claire likes to say, you can be part of the problem or part of the solution. Well, I happen to believe that you can be both.",,,
1381,Phil ," Listen, Claire feels terrible. Why don't you talk to her?",,,
1382,Gloria , Why? I know what she thinks... A coal digger.,,,
1383,Phil ," No, she's saying ""gold digger.""",,,
1384,Gloria ," No, Phil...",,,
1385,Phil ," I know she said that, but that was a long time ago, before... she knew you.",,,
1386,Gloria ," Does Jay buy me nice things? Yes, of course! All beautiful things! Look at this. Yellow, red, blue... All the colors. Do you think I can't live without these? Take them away, Phil.",,,
1387,Phil ," We all know you'd be fine without underwear. I mean, we know it's not about that.",,,
1388,Gloria , It's about me not being accepted by my new family.,,,
1389,Phil ," That is not true. Gloria, look, you're a beautiful woman. In fact, you're probably one of those beautiful women who doesn't know it.",,,
1390,Gloria , I know it.,,,
1391,Phil ," So it's natural for Claire to wonder about you and her dad. This family is very protective of each other. I remember the first  time Claire brought me home. Do you think Jay thought I was good enough for his little girl? No way. But, over time, he realized that I loved Claire as much as he did. And by then, Mitch had brought Cam home, so I was golden. Claire just needs a little time. And then, trust me, she'll be the most loyal friend you've ever had.",,,
1392,Jay ," You're not leaving, are you?",,,
1393,Mitchell ," Uh, You know, there's kind of a lot of drama.",,,
1394,Cameron , So we're torn.,,,
1395,Jay ," Let me ask you something. Your sister said that Gloria would never go for anybody who looked like me. Now, you guys basically... are like women. You look at guys. So what do you think?",,,
1396,Mitchell , You're seriously asking us if you're attractive?,,,
1397,Jay ," I know I'm no Erik Estrada or anything. I'm just curious is all. So, if I was in one of your bars and... Righteous Brothers were on, would you... I don't know... Check me out?",,,
1398,Mitchell ," Dad, you're really close to ruining gay for me.",,,
1399,Jay ," All right, fine, whatever...",,,
1400,Mitchell ," Jay, Jay, Jay, now, listen, I think it's... I just think it's a little weird for a son to say this to his father, but, for the record... you're smoking hot.",,,
1401,Jay , Really?,,,
1402,Cameron ," 100%. You're totally my type, dangerous, gettable. You have a little cashola in your pocket.",,,
1403,Jay ," Face, body, the whole...",,,
1404,Cameron ," The whole kit and caboodle, I think",,,
1405,Jay ," Really. What, about a 7?",,,
1406,Cameron , 9. For sure 9. But you knew that.,,,
1407,Jay , I might have lowballed a bit.,,,
1408,Mitchell ," Hey, isn't there a game on?",,,
1409,Jay , Touchy.,,,
1410,Cameron , I know.,,,
1411,Claire ," Gloria? Come on, let's talk about this.",,,
1412,Phil , I've seen her kick in a door before. ,,,
1413,Claire ," I don't know what my husband is saying to you, or why he's covered in your underwear...",,,
1414,Gloria ," Obviously, I'm trying to seduce him for his money. Coz' that's what I do, right? What do I have to give back so that everyone trusts me? These earrings?",,,
1415,Claire & Phil , No...,,,
1416,Gloria , What? This bracelet?,,,
1417,Claire & Phil , No...,,,
1418,Gloria , My new dress?,,,
1419,Claire , No...,,,
1420,Phil , I didn't respond because... this shouldn't be... about me. It should be about you talking to you... about it.,,,
1421,Claire , Phil? Honey...,,,
1422,Phil ," No, no, you're welcome.",,,
1423,Claire ," I don't know what to say except for that I am really, really sorry.",,,
1424,Gloria , Just tell me one thing. How do you really feel that I'm with your father?,,,
1425,Claire ," Uhh, well...Honestly, at first, it was hard. You don't expect to wake up one morning with a new mom who looks like she fell off a mud flap. But... I'm getting used to it. The important thing is you make him happy, which you do, in so many ways. So many colors. Are we okay?",,,
1426,Gloria , No.,,,
1427,Claire , No?,,,
1428,Gloria , You embarrassed me in front of everyone downstairs. What? I'm supposed just to forget about it?,,,
1429,Claire , What do you want me to do? Just embarrass myself so we're even?,,,
1430,Gloria , Go jump in the pool.,,,
1431,Claire ," You mean ""go jump in a lake,"" right?",,,
1432,Gloria , Go jump in the pool with your clothe on. Then I know you're sorry.,,,
1433,Claire ," I'm not gonna do that, Gloria.",,,
1434,Gloria , Okay! Then I won't forgive you. ,,,
1435,Jay , Now a field goal beats us! Hey! You guys work that out?,,,
1436,Claire , Almost. Gloria wants me to jump in the pool.,,,
1437,Phil ," Okay, then. What?",,,
1438,Jay ," If they kick... get a pass rush on them, something, a break.",,,
1439,Luke , This is so awesome.,,,
1440,Haley , I know. Mom does not look good wet.,,,
1441,Jay ," Gloria, is this really necessary?",,,
1442,Claire ," Dad, it's fine. If I need to jump in this water to prove to Gloria how sorry I am, I will do it. It's fine. You're seriously not gonna stop me?",,,
1443,Gloria , Why would I do that?,,,
1444,Claire , Because I am standing here. I'm showing you my willingness to... Are you happy?,,,
1445,Gloria , Yesss! I forgive you!,,,
1446,Claire , Then give me your hand.,,,
1447,Jay , That's the oldest trick in the book. She's gonna pull you in there. And that's my job.,,,
1448,Phil ," This is funny, but this is also a teaching moment. Think of all...",,,
1449,Cameron , Cannonball! ,,,
1450,Cameron ," Now get your hands up there, and... like you're lifting me off the ground. Be one with me, Jay. There you go.",,,
1451,Claire , Do you want to get something to eat?,,,
1452,Mitchell , I am never eating again.,,,
1453,Jay , Just snap the damn thing.,,,
1454,Cameron , Perfect. That one kind hurt. ,,,
1455,Cameron , Oh... Come on. How could he fumble that?,,,
1456,Jay , Center blew the snap.,,,
1457,Cameron ," You know, I hate that. I played center and I always got blamed for a quarterback's clumsy hands.",,,
1458,Jay ," Well, I was a quarterback, and it was probably your fault.",,,
1459,Cameron , It's impossible to fumble the ball when the QB has the proper hand placement.,,,
1460,Claire , It's weird to think of a woman being sexually attracted to dad.,,,
1461,Mitchell , You want to hear weird? Cam said he'd pick up dad at a gay bar.,,,
1462,Claire , How did that come up?,,,
1463,Mitchell , I'm really trying to block it out.,,,
1464,Claire ," As far as I'm concerned, mum and dad had sex two times.",,,
1465,Mitchell , Agreed.  Modern Family,,,
1466,Claire ," Okay, your brother's lunch is packed, you're buying your own lunch. Luke, Alex, come on. Let's go!",,,
1467,Phil , Hurry up. Last chance for the summer handshake.,,,
1468,Luke , Dad?,,,
1469,Phil ," Come on, we're only halfway done.",,,
1470,Luke , I need help. I was supposed to keep a journal all summer. It's due today.,,,
1471,Claire ," Wow, first day of school, and you're already behind?",,,
1472,Luke , I'm dead.,,,
1473,Claire ," All right, tell me how far you've gotten.",,,
1474,Luke ," Okay. ""June 21st -- found a stick.""",,,
1475,Claire , Mm.,,,
1476,Luke ," ""June 22nd..."" That's it.",,,
1477,Claire , That's it?,,,
1478,Luke , It was a really cool stick.,,,
1479,Phil , He's right. It looked like a snake.,,,
1480,Claire , Getting everybody out of the house in the morning can be really tough. Especially the first day of school.,,,
1481,Phil ,,"00 'til we drop them off at school, It is go, go, go.",,
1482,Claire ,,00.,,
1483,Phil ,,00.,,
1484,Claire ,,00.,,
1485,Phil , That's you? I thought we had a raccoon.,,,
1486,Gloria ," I can't believe my little boy is going into the fifth grade. He used to hold my finger with his little hand and look at me with those big eyes. Oh, mi niño pequeño, Jay!",,,
1487,Jay ," Yep, they grow up. Come on, Manny, let's get going!",,,
1488,Manny , How's my hair?,,,
1489,Jay , Hold on. What are you wearing there? That looks like an old christmas tree skirt. ,,,
1490,Manny , It's a traditional Colombian poncho. I want my new classmates to know I'm proud of my heritage.,,,
1491,Gloria ," Sí. I think you look very handsome, lindo.",,,
1492,Jay ," Oh, really? Am I driving him to school, or is he gonna ride his burro?",,,
1493,Cameron ," * you are a cutie-pie, yes, you are! you are a cutie-pie * Are you still baby-proofing?",,,
1494,Mitchell , Everything we own is pointy. Why is our daughter dressed like Donna Summer?,,,
1495,Cameron ," She is not Donna Summer. Clearly, she's Diana ross from the RCA years. How is daddy not seeing that?",,,
1496,Mitchell , I really thought you were done with this.,,,
1497,Cameron , I made no such promises.,,,
1498,Jay ," I guess I'm somewhat of a shutterbug, um, and my new favorite model, of course, is Lily. I just completed a series of photographs Of her dressed as various pop icons. Let's see, I've done, uh, Olivia Newton-John. I've done Madonna, the early years. Stevie Wonder.",,,
1499,Mitchell ," Yeah, there are days when Lily has more costume changes than Cher.",,,
1500,Cameron , Cher! How could I forget Cher? That's embarrassing.,,,
1501,Mitchell , That's embarrassing? [OPENING CREDITS],,,
1502,Phil ," Honey, you moving out?",,,
1503,Alex , Five more years. A little help here?,,,
1504,Claire , This is why we suggested the violin.,,,
1505,Alex , The cello is more in demand in university orchestras.,,,
1506,Haley , You know what's not in demand?,,,
1507,Alex ," Oh, what?",,,
1508,Haley , Girls who play in university orchestras.,,,
1509,Phil ," Here, I'll help you carry it out to the curb. ",,,
1510,Claire ," Phil, put on some pants.",,,
1511,Phil ," Come on, this covers up more than my bathing suit.",,,
1512,Claire ," Yeah, don't remind me. Haley, honey, don't forget the driving instructor is picking you up from school.",,,
1513,Haley , Can't he pick me up someplace else? I don't want kids at school thinking I'm dating a 40-year-old driving instructor who's not even cute. ,,,
1514,Jay ," I'm sorry, but there's only two places anyone should wear a poncho... Niagara falls and log rides.",,,
1515,Gloria , You think too much about these things. I wear all sort of daring outfits all the time and people admire them because I wear them with the confidence.,,,
1516,Jay , I'm sure it's the confidence they're admiring. I just... I just think it's a little over-the-top. ,,,
1517,Claire , Haley just got her learner's permit,,,
1518,Phil , We've been taking turns driving with her. ,,,
1519,Cameron ,, You know what? You need to loosen up and have fun.,,
1520,Mitchell , I am loose. I'm fun. Remember? Breakfast for dinner last week... my idea.,,,
1521,Cameron ," Ever since we brought Lily home, you've been tense. All you do is put child locks on things, read parenting books. Would you please stop and... Here... just hold your daughter. Hold her and relax.",,,
1522,Mitchell ," All right, sweetheart. Come on.",,,
1523,Cameron , Just relax.,,,
1524,Mitchell ," Oh, sweetheart. Did you put hair spray on this?",,,
1525,Cameron ," Just a little bit, yes. I'm gonna put some music on.",,,
1526,Mitchell ," No, cam, I have to go to work.",,,
1527,Cameron , Dance with her!,,,
1528,Mitchell , I don't have time for this.,,,
1529,Cameron ," Put a little boogie in it. oh, come on. Just dance. You know you love this song. This is actually a really good song. All right. Okay. Who's the dancing queen, huh? Put a little boogie in it.",,,
1530,Mitchell , I don't have time.,,,
1531,Cameron ," See? Fun, right? Oh, my... was that her head?",,,
1532,Mitchell ," No, I think if it was her head, she would be... Yeah, that was her head. Okay, okay. Yes, I know.",,,
1533,Cameron , I got boo-boo bear from the freezer.,,,
1534,Mitchell , Why do you have chocolate on your face?,,,
1535,Cameron , It was under a pie.,,,
1536,Mitchell , So you ate your way to it?,,,
1537,Cameron , I made a judgment call. You weren't there!,,,
1538,Mitchell , Do you think she's all right? ,,,
1539,Phil ," One of the really standard rules of the road is we want to keep a safe distance Between us and the car in front of it, And that is not safe right there! not safe!",,,
1540,Claire ," All right. Okay, merge.",,,
1541,Haley , I...,,,
1542,Claire , Merge.,,,
1543,Haley , Mom...,,,
1544,Claire ," Merge! Merge, merge, merge, merge, merge!",,,
1545,Haley , Stop it! You're freaking me out!,,,
1546,Phil ," This navigation system's all messed up. It thinks we're in a park. Oh, my god, it is a park! Away from the kids!",,,
1547,Haley , Where do I go?!,,,
1548,Phil , Aim for the lake!,,,
1549,Haley , The lake?!,,,
1550,Phil , Aim for the lake!,,,
1551,Claire , Makes you realize we're all just hanging by a thread.,,,
1552,Gloria , The last thing Manny needs on his first day of school is you under-melting his confidence.,,,
1553,Jay , Undermining.,,,
1554,Gloria ," Now you're doing it to me, too.  ",,,
1555,Cameron , She didn't cry that much.,,,
1556,Mitchell , M-maybe that's a bad sign. You know... We should try and make her laugh.,,,
1557,Cameron , Why?,,,
1558,Mitchell ," 'cause that's how we'll know she's okay. Where's, um... Where's doggy? Doggy, doggy.",,,
1559,Cameron ," Here, doggy.",,,
1560,Mitchell ," Okay, there you go. Moo!",,,
1561,Cameron , But it's a dog.,,,
1562,Mitchell ," Yeah, I know. That's why it's funny. Moo!",,,
1563,Cameron , I don't think it's as funny as you think it is. Can we please just call your sister?,,,
1564,Mitchell ," No, no. Cam, cam, why, so she can be all judgmental and condescending. Like she's the expert and I don't know how to take care of a baby?",,,
1565,Cameron ," Mitchell, she is your family. Of course she's gonna be judgmental and condescending.",,,
1566,Claire , Hello?,,,
1567,Mitchell ," Hey, hi. Uh, not a big deal, just wondering... When your kids were small, did you ever...",,,
1568,Claire ," I don't know, uh, smack their heads into a wall? Usually, we just gave time-outs.",,,
1569,Mitchell ," No, no. Accidentally. Um, we... we just kind of bonked Lily's head, And she... it really wasn't very hard, and she's not acting any differently, But I just worry...",,,
1570,Claire ," Relax. It happens. Luke used to bang his head all the time, and he's fine.",,,
1571,Mitchell ," Okay. All right, thank you. Thanks. That helps. Okay, okay. We got to take her to the doctor. Load up the car. ",,,
1572,Jay ," No, what I'm saying... we have the day to ourselves for the first time in months. We should take advantage of it... Go to the club... Nice lunch... Some massages.",,,
1573,Gloria , What about work?,,,
1574,Jay ," I'm the boss. Since I married you, people are surprised I come in at all. ",,,
1575,Jay , Gloria?,,,
1576,Gloria , I'm here.,,,
1577,Jay ," I, uh, just dropped Manny off at school, And I realized... I just dropped Manny off at school.",,,
1578,Gloria ," Oh, boy. And I was hoping we'd still have a few more good years before the mind started to go. ",,,
1579,Claire ," I was sort of looking forward to a quiet day. Thought I'd just read, maybe... Go for a run later. That's it.",,,
1580,Phil , Great. We'll run together.,,,
1581,Claire , You don't have to do that.,,,
1582,Phil , I Know. ,,,
1583,Gloria ," Jay's very spontaneous. He's always surprising me with little presents, fun getaways.",,,
1584,Jay ," I wasn't the greatest husband the first time around, But I'm trying to do better this time. And maybe by my third marriage, I'll have it down pat. Yeah, that one's gonna cost me.",,,
1585,Phil ," Whatcha reading there, a book?",,,
1586,Claire ," Yeah, I've been meaning to get to it for a while.",,,
1587,Phil ," Oh, it's got a map at the beginning. I like it when books do that.",,,
1588,Claire , Uh-huh. Do you have an open house this morning?,,,
1589,Phil , I rescheduled. Thought you might like some company. Ahh.,,,
1590,Phil ," Well, the first day of school can be tough for stay-at-home moms. Now, you have to understand... the kids are gone, The nest is empty, they are rudderless. And a lot of guys wouldn't even notice. But I'm not a lot of guys. I listen with my mind, and if you pay attention, women will tell you what they want by telling you the opposite of what they want. Like, the other day, Claire was like, you have to move your car. There's no space in the garage for both of our cars."" And what she's really saying is that, you know, I should probably get a sports car.  ",,,
1591,Phil , Listening.,,,
1592,Claire ," The thing is, I like to run alone, and I run kind of fast, so...",,,
1593,Phil , So...,,,
1594,Claire ," So, I'm not sure you're gonna be able to keep up with me.",,,
1595,Phil ," You're k... you're kidding, right?",,,
1596,Claire , No.,,,
1597,Phil , You really think I can't keep up with you?,,,
1598,Claire , I'm not sure you can keep up with this conversation.,,,
1599,Phil ," I think you're forgetting that I power-walk every morning and that I wear my special ses with the big soles, which were designed by a doctor.",,,
1600,Claire ," Yes, I know. But I run... every day.",,,
1601,Phil , You really think you can run as fast as me?,,,
1602,Claire ," No, Phil, I think I can run much, much faster...Than you.",,,
1603,Phil , Boom. Just like that the whole day changed. It was game on. She knew it. I knew it. We both knew it.,,,
1604,Claire , I just want to read.,,,
1605,Jay , I think I'll order what I had the last time. What was that called?,,,
1606,Gloria , You just want me to say it because you want me to roll my r's.,,,
1607,Jay , Come on!,,,
1608,Gloria ," Reuben. Jay, what is this?",,,
1609,Jay ," Oh, looks like my old car cover.",,,
1610,Gloria , Don't give me that. This is Manny's poncho. What is it doing here?,,,
1611,Jay , Maybe he decided to take it off on the way to school.,,,
1612,Gloria , What did you say to him?,,,
1613,Jay , Nothing. I told some jokes.,,,
1614,Gloria ," You said plenty with your jokes. Jay, he looks up to you. He respects your opinion. ",,,
1615,Jay ," We dodged a bullet on this, trust me. I've been down this road before. I remember one time Mitchell decided to wear a jaunty scarf to school. I kept my mouth shut. He got his jaunty butt kicked.",,,
